Edad simple;Sexo;Provincias;Periodo;Total
Todas las edades;Total;35 Palmas, Las;1 de enero de 2013;1.094.875
Todas las edades;Total;35 Palmas, Las;1 de enero de 2012;1.089.051
Todas las edades;Total;36 Pontevedra;1 de enero de 2021;946.311
Todas las edades;Total;36 Pontevedra;1 de enero de 2020;946.213
Todas las edades;Total;36 Pontevedra;1 de enero de 2019;942.944
Todas las edades;Total;36 Pontevedra;1 de enero de 2018;942.556
Todas las edades;Total;36 Pontevedra;1 de enero de 2017;944.116
Todas las edades;Total;36 Pontevedra;1 de enero de 2016;945.852
Todas las edades;Total;36 Pontevedra;1 de enero de 2015;948.487
Todas las edades;Total;36 Pontevedra;1 de enero de 2014;950.254
Todas las edades;Total;36 Pontevedra;1 de enero de 2013;953.087
Todas las edades;Total;36 Pontevedra;1 de enero de 2012;954.921
Todas las edades;Total;26 Rioja, La;1 de enero de 2021;319.444
Todas las edades;Total;26 Rioja, La;1 de enero de 2020;318.703
Todas las edades;Total;26 Rioja, La;1 de enero de 2019;315.967
Todas las edades;Total;26 Rioja, La;1 de enero de 2018;314.890
Todas las edades;Total;26 Rioja, La;1 de enero de 2017;314.136
Todas las edades;Total;26 Rioja, La;1 de enero de 2016;314.025
Todas las edades;Total;26 Rioja, La;1 de enero de 2015;314.457
Todas las edades;Total;26 Rioja, La;1 de enero de 2014;315.736
Todas las edades;Total;26 Rioja, La;1 de enero de 2013;318.819
Todas las edades;Total;26 Rioja, La;1 de enero de 2012;320.951
Todas las edades;Total;37 Salamanca;1 de enero de 2021;327.735
Todas las edades;Total;37 Salamanca;1 de enero de 2020;330.834
Todas las edades;Total;37 Salamanca;1 de enero de 2019;332.044
Todas las edades;Total;37 Salamanca;1 de enero de 2018;333.500
Todas las edades;Total;37 Salamanca;1 de enero de 2017;335.783
Todas las edades;Total;37 Salamanca;1 de enero de 2016;338.308
Todas las edades;Total;37 Salamanca;1 de enero de 2015;341.635
Todas las edades;Total;37 Salamanca;1 de enero de 2014;344.104
Todas las edades;Total;37 Salamanca;1 de enero de 2013;347.040
Todas las edades;Total;37 Salamanca;1 de enero de 2012;349.625
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2021;1.047.565
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2020;1.045.045
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2019;1.031.630
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2018;1.019.708
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2017;1.009.654
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2016;1.003.542
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2015;1.003.741
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2014;1.003.299
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2013;1.001.461
Todas las edades;Total;38 Santa Cruz de Tenerife;1 de enero de 2012;996.877
Todas las edades;Total;40 Segovia;1 de enero de 2021;153.626
Todas las edades;Total;40 Segovia;1 de enero de 2020;153.641
Todas las edades;Total;40 Segovia;1 de enero de 2019;153.571
Todas las edades;Total;40 Segovia;1 de enero de 2018;153.983
Todas las edades;Total;40 Segovia;1 de enero de 2017;154.854
Todas las edades;Total;40 Segovia;1 de enero de 2016;155.991
Todas las edades;Total;40 Segovia;1 de enero de 2015;157.578
Todas las edades;Total;40 Segovia;1 de enero de 2014;158.798
Todas las edades;Total;40 Segovia;1 de enero de 2013;161.205
Todas las edades;Total;40 Segovia;1 de enero de 2012;162.937
Todas las edades;Total;41 Sevilla;1 de enero de 2021;1.950.056
Todas las edades;Total;41 Sevilla;1 de enero de 2020;1.947.848
Todas las edades;Total;41 Sevilla;1 de enero de 2019;1.941.191
Todas las edades;Total;41 Sevilla;1 de enero de 2018;1.938.007
Todas las edades;Total;41 Sevilla;1 de enero de 2017;1.936.735
Todas las edades;Total;41 Sevilla;1 de enero de 2016;1.935.590
Todas las edades;Total;41 Sevilla;1 de enero de 2015;1.935.135
Todas las edades;Total;41 Sevilla;1 de enero de 2014;1.934.058
Todas las edades;Total;41 Sevilla;1 de enero de 2013;1.935.023
Todas las edades;Total;41 Sevilla;1 de enero de 2012;1.932.573
Todas las edades;Total;42 Soria;1 de enero de 2021;88.796
Todas las edades;Total;42 Soria;1 de enero de 2020;89.302
Todas las edades;Total;42 Soria;1 de enero de 2019;89.008
